Datum;Dax30;Dax30lag;S&P500;S&P500lag
17.02.1999;-1,525808409;-0,033287452;-1,424822785;0,954849287
18.02.1999;1,051153219;-1,525808409;1,090246734;-1,424822785
19.02.1999;-0,981915752;1,051153219;0,157081619;1,090246734
22.02.1999;1,336025841;-0,981915752;2,658787548;0,157081619
23.02.1999;2,555394153;1,336025841;-0,073816382;2,658787548
24.02.1999;0,911503012;2,555394153;-1,388229786;-0,073816382
25.02.1999;-2,762593683;0,911503012;-0,65626121;-1,388229786
26.02.1999;-0,296632138;-2,762593683;-0,534861272;-0,65626121
01.03.1999;-2,546717347;-0,296632138;-0,17244376;-0,534861272
02.03.1999;0,392754239;-2,546717347;-0,860855924;-0,17244376
03.03.1999;-2,695379587;0,392754239;0,201933261;-0,860855924
04.03.1999;1,1603249;-2,695379587;1,556340632;0,201933261
05.03.1999;2,501116948;1,1603249;2,314343606;1,556340632
08.03.1999;-1,020077218;2,501116948;0,575112317;2,314343606
09.03.1999;-0,020035772;-1,020077218;-0,22506614;0,575112317
10.03.1999;-1,261254115;-0,020035772;0,553091887;-0,22506614
11.03.1999;1,169543662;-1,261254115;0,866010061;0,553091887
12.03.1999;5,134190251;1,169543662;-0,23711346;0,866010061
15.03.1999;0,241897334;5,134190251;0,98007754;-0,23711346
16.03.1999;0,945822419;0,241897334;-0,066759347;0,98007754
17.03.1999;-0,556676285;0,945822419;-0,649666964;-0,066759347
18.03.1999;-0,726900658;-0,556676285;1,446496919;-0,649666964
19.03.1999;1,650685763;-0,726900658;-1,310756195;1,446496919
22.03.1999;-1,449865427;1,650685763;-0,173978175;-1,310756195
23.03.1999;-3,261180452;-1,449865427;-2,687837706;-0,173978175
24.03.1999;-1,502107591;-3,261180452;0,512514566;-2,687837706
25.03.1999;1,385770835;-1,502107591;1,688100569;0,512514566
26.03.1999;-1,320364077;1,385770835;-0,557360262;1,688100569
29.03.1999;1,408870341;-1,320364077;2,147941049;-0,557360262
30.03.1999;-0,534392393;1,408870341;-0,711734205;2,147941049
31.03.1999;0,497190779;-0,534392393;-1,104360923;-0,711734205
01.04.1999;0,751037455;0,497190779;0,576142532;-1,104360923
06.04.1999;2,457459591;0,751037455;1,87278152;0,576142532
07.04.1999;0,099158349;2,457459591;0,703264868;1,87278152
08.04.1999;0,805808345;0,099158349;1,292117223;0,703264868
09.04.1999;1,305507759;0,805808345;0,325157462;1,292117223
12.04.1999;0,655055007;1,305507759;0,764347079;0,325157462
13.04.1999;1,116002748;0,655055007;-0,645233735;0,764347079
14.04.1999;-0,736045564;1,116002748;-1,581884373;-0,645233735
15.04.1999;0,057068382;-0,736045564;-0,419756781;-1,581884373
16.04.1999;-0,899855869;0,057068382;-0,291736246;-0,419756781
19.04.1999;2,126765986;-0,899855869;-2,237294695;-0,291736246
20.04.1999;-2,874685858;2,126765986;1,294345422;-2,237294695
21.04.1999;1,453715737;-2,874685858;2,298389112;1,294345422
22.04.1999;0,986751218;1,453715737;1,700829255;2,298389112
23.04.1999;-0,741394089;0,986751218;-0,144964846;1,700829255
26.04.1999;1,565761803;-0,741394089;0,235058592;-0,144964846
27.04.1999;1,816052775;1,565761803;0,202962913;0,235058592
28.04.1999;-0,225357468;1,816052775;-0,864934967;0,202962913
29.04.1999;-0,554110807;-0,225357468;-0,580387652;-0,864934967
30.04.1999;0,702227666;-0,554110807;-0,568870204;-0,580387652
03.05.1999;0,424965115;0,702227666;1,456697194;-0,568870204
04.05.1999;-0,108113731;0,424965115;-1,669648859;1,456697194
05.05.1999;-1,528247852;-0,108113731;1,172125485;-1,669648859
06.05.1999;-0,371089398;-1,528247852;-1,125631093;1,172125485
07.05.1999;0,017628427;-0,371089398;0,972328449;-1,125631093
10.05.1999;-0,293565811;0,017628427;-0,321624186;0,972328449
11.05.1999;0,693402978;-0,293565811;1,148287273;-0,321624186
12.05.1999;-0,910808704;0,693402978;0,638322137;1,148287273
14.05.1999;-1,252562276;-0,910808704;-1,915387602;0,638322137
17.05.1999;-1,572106824;-1,252562276;0,129112872;-1,915387602
18.05.1999;1,146021168;-1,572106824;-0,454046581;0,129112872
19.05.1999;1,023743961;1,146021168;0,822253132;-0,454046581
20.05.1999;0,573724896;1,023743961;-0,396603993;0,822253132
21.05.1999;0,201403339;0,573724896;-0,637071245;-0,396603993
25.05.1999;-1,675939373;0,201403339;-3,447079867;-0,637071245
